Member1,Material1,Section1,Area1,Orientation1,Member2,Material2,Section2,Area2,Orientation2,Angle,Fx1,Fy1,Fz1,Mx1,My1,Mz1,Fx2,Fy2,Fz2,Mx2,My2,Mz2,Output
1.0,355.0,I,112.0,Z,99.0,275.0,H,11.0,Y,90.0,-37.17,-0.11,-0.16,0.0,-0.04,0.05,-0.06,0.22,0.0,0.0,0.0,0.14,1.0
2.0,355.0,I,112.0,Z,99.0,275.0,H,11.0,Y,90.0,-53.96,0.03,-0.05,0.0,-0.01,-0.01,-0.06,-0.22,0.0,0.0,0.0,0.15,1.0
2.0,355.0,I,112.0,Z,100.0,275.0,H,11.0,Y,90.0,-53.96,0.03,-0.05,0.0,-0.01,-0.01,-0.02,0.22,0.0,0.0,0.0,0.15,1.0
2.0,355.0,I,112.0,Z,144.0,235.0,S,27.0,YZ,129.52263127117112,-53.96,0.03,-0.05,0.0,-0.01,-0.01,1.0,1.0,1.0,1.0,1.0,1.0,7.0
3.0,355.0,I,112.0,Z,100.0,275.0,H,11.0,Y,90.0,-53.13,0.01,-0.05,0.0,-0.01,0.0,-0.02,-0.22,0.0,0.0,0.0,0.15,1.0
3.0,355.0,I,112.0,Z,101.0,275.0,H,11.0,Y,90.0,-53.13,0.01,-0.05,0.0,-0.01,0.0,-0.01,0.22,0.0,0.0,0.0,0.15,1.0
4.0,355.0,I,112.0,Z,101.0,275.0,H,11.0,Y,90.0,-56.0,-0.01,-0.1,0.0,-0.02,0.0,-0.01,-0.22,0.0,0.0,0.0,0.15,1.0
4.0,355.0,I,112.0,Z,102.0,275.0,H,11.0,Y,90.0,-56.0,-0.01,-0.1,0.0,-0.02,0.0,-0.02,0.22,0.0,0.0,0.0,0.15,1.0
4.0,355.0,I,112.0,Z,483.0,235.0,S,27.0,YZ,129.52263127117112,-56.0,-0.01,-0.1,0.0,-0.02,0.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
5.0,355.0,I,112.0,Z,102.0,275.0,H,11.0,Y,90.0,-47.61,-0.03,-0.03,0.0,0.0,0.01,-0.02,-0.22,0.0,0.0,0.0,0.15,1.0
5.0,355.0,I,112.0,Z,103.0,275.0,H,11.0,Y,90.0,-47.61,-0.03,-0.03,0.0,0.0,0.01,-0.06,0.22,0.0,0.0,0.0,0.15,1.0
6.0,355.0,I,112.0,Z,103.0,275.0,H,11.0,Y,90.0,-34.15,0.11,-0.16,0.0,-0.05,-0.05,-0.06,-0.22,0.0,0.0,0.0,0.14,1.0
7.0,355.0,I,112.0,Z,109.0,275.0,H,18.0,Y,90.0,-45.5,-0.2,-0.16,0.0,-0.04,0.09,-0.13,0.34,0.0,0.0,0.0,0.22,1.0
8.0,355.0,I,131.0,Z,109.0,275.0,H,18.0,Y,90.0,-16.18,0.07,-0.09,0.0,-0.02,-0.03,-0.13,-0.35,0.0,0.0,0.0,0.24,1.0
8.0,355.0,I,131.0,Z,110.0,275.0,H,18.0,Y,90.0,-16.18,0.07,-0.09,0.0,-0.02,-0.03,-0.05,0.35,0.0,0.0,0.0,0.23,1.0
8.0,355.0,I,131.0,Z,146.0,235.0,S,27.0,YZ,129.52263127117112,-16.18,0.07,-0.09,0.0,-0.02,-0.03,1.0,1.0,1.0,1.0,1.0,1.0,7.0
9.0,355.0,I,131.0,Z,110.0,275.0,H,18.0,Y,90.0,-17.47,0.02,-0.08,0.0,-0.02,-0.01,-0.05,-0.35,0.0,0.0,0.0,0.23,1.0
