Material1,Section1,Area1,Orientation1,Material2,Section2,Area2,Orientation2,Angle,W/F/H,Ved,Fed,Output
355.0,I,112.0,Z,275.0,H,11.0,Y,90.0,1,0.22,0.06,1.0
355.0,I,112.0,Z,275.0,H,11.0,Y,90.0,1,0.22,0.06,1.0
355.0,I,112.0,Z,275.0,H,11.0,Y,90.0,1,0.22,0.02,1.0
355.0,I,112.0,Z,235.0,S,27.0,YZ,129.52263127117112,1,1.0,1.0,3.0
355.0,I,112.0,Z,275.0,H,11.0,Y,90.0,1,0.22,0.02,1.0
355.0,I,112.0,Z,275.0,H,11.0,Y,90.0,1,0.22,0.01,1.0
355.0,I,112.0,Z,275.0,H,11.0,Y,90.0,1,0.22,0.01,1.0
355.0,I,112.0,Z,275.0,H,11.0,Y,90.0,1,0.22,0.02,1.0
355.0,I,112.0,Z,235.0,S,27.0,YZ,129.52263127117112,1,1.0,1.0,3.0
355.0,I,112.0,Z,275.0,H,11.0,Y,90.0,1,0.22,0.02,1.0
355.0,I,112.0,Z,275.0,H,11.0,Y,90.0,1,0.22,0.06,1.0
355.0,I,112.0,Z,275.0,H,11.0,Y,90.0,1,0.22,0.06,1.0
355.0,I,112.0,Z,275.0,H,18.0,Y,90.0,1,0.34,0.13,1.0
355.0,I,131.0,Z,275.0,H,18.0,Y,90.0,1,0.35,0.13,1.0
355.0,I,131.0,Z,275.0,H,18.0,Y,90.0,1,0.35,0.05,1.0
355.0,I,131.0,Z,235.0,S,27.0,YZ,129.52263127117112,1,1.0,1.0,3.0
355.0,I,131.0,Z,275.0,H,18.0,Y,90.0,1,0.35,0.05,1.0
355.0,I,131.0,Z,275.0,H,18.0,Y,90.0,1,0.35,0.04,1.0
355.0,I,131.0,Z,275.0,H,18.0,Y,90.0,1,0.35,0.04,1.0
355.0,I,131.0,Z,275.0,H,18.0,Y,90.0,1,0.35,0.05,1.0
355.0,I,131.0,Z,235.0,S,27.0,YZ,129.52263127117112,1,1.0,1.0,3.0
355.0,I,131.0,Z,275.0,H,18.0,Y,90.0,1,0.35,0.05,1.0
355.0,I,131.0,Z,275.0,H,18.0,Y,90.0,1,0.35,0.13,1.0
355.0,I,112.0,Z,275.0,H,18.0,Y,90.0,1,0.34,0.13,1.0
355.0,I,112.0,Z,275.0,H,11.0,Y,90.0,1,0.22,0.06,1.0
355.0,I,112.0,Z,275.0,H,11.0,Y,90.0,1,0.22,0.06,1.0
355.0,I,112.0,Z,275.0,H,11.0,Y,90.0,1,0.22,0.02,1.0
355.0,I,112.0,Z,235.0,S,27.0,YZ,129.52263127117112,1,1.0,1.0,3.0
355.0,I,112.0,Z,275.0,H,11.0,Y,90.0,1,0.22,0.02,1.0
355.0,I,112.0,Z,275.0,H,11.0,Y,90.0,1,0.22,0.01,1.0
355.0,I,112.0,Z,275.0,H,11.0,Y,90.0,1,0.22,0.01,1.0
355.0,I,112.0,Z,275.0,H,11.0,Y,90.0,1,0.22,0.02,1.0
355.0,I,112.0,Z,235.0,S,27.0,YZ,129.52263127117112,1,1.0,1.0,3.0
355.0,I,112.0,Z,275.0,H,11.0,Y,90.0,1,0.22,0.02,1.0
